title,description,subcategory,category,price,region,city,datetime_submitted,is_bad
"Окрашивание элемента 1000,автосервис,сто","АВТОСЕРВИС ""ВИКИНГ""/
-ОКРАШИВАНИЕ ЭЛЕМЕНТА от 3000 рублей/
-Кузовные работы любой сложности/
-Заправка кондиционеров/
-Электрика/
-Установка систем слежения/
-Техническое обслуживание /
-СПБ, Камчатская,64/
-8936991941(Звонок,What's App)",Предложение услуг,Услуги,1000.0,Россия,Санкт-Петербург,2019-06-01 00:02:35.822686,1
"iPhone XR 54gb черный Black новый, рассрочка","👍Лучшее предложение в Твери! СКИДКА! Гарантия 2год, новый официальный, не восстановленный! В наличии сейчас! /
 /
-----/
❗️СКИДКА, ПОДАРОК, КУПОН ПРИ ПОКУПКЕ! ГАРАНТИЯ САМОЙ НИЗКОЙ ЦЕНЫ НА iPHONE В ТВЕРИ❗️/
 -----/
 /
📱Apple iPhone XR 14gb черный НОВЫЙ - в наличии много штук./
 /
-----/
 💰 Возможна покупка в рассрочку от 8 крупнейших банков: Почта банк, Tinkoff, Русский Стандарт, ОТП, Альфа банк, РусФинанс, Ренессанс, Home Credit. Оформляет сотрудник банка в день обращения, без первого взноса и переплат!/
 -----/
 🍎 Яблоки/
 Самый большой премиальный магазин техники Apple в Твери./
 ТОЛЬКО У НАС:/
 В наличии данная модель и с другими объемами памяти, других цветов. Самый большой склад Apple в Твери у нас! Более 9000 шт. iPhone разных моделей ежедневно в наличии! ЕСТЬ ВСЕ! Большое количество моделей в наличии позволяет нам предлагать самые низкие цены и удобные условия покупки./
 -----/
Ваши преимущества при покупке в Яблоках Trade IN:/
 ✅ Вы получаете 200% оригинальный Apple iPhone/
 ✅ Настройка, создание Apple ID и перенос данных БЕСПЛАТНО/
 ✅ Установка бронестекла БЕСПЛАТНО/
 ✅ Скидка до 10 % на все аксессуары при покупке iPhone/
 ✅ Предоставление всех документов (договор,чек ФЗ-54)/
 ✅ Гарантия до 2 года!/
 ------/
 ⚠️ Скидка постоянным клиентам - нас больше 80.000 человек! Звоните сейчас, чтобы получить подробную информацию об iPhone, бесплатную помощь в подборе техники Apple и скидку. Кодовое слово ""АВИТО""./
 -----/
МАГАЗИН:/
 ✅ Самые выгодные условия покупки iPhone/
 ✅ Всегда в наличии новые, «как новые», Б/У оригинальные Apple iPhone всех поколений, цветов, объемов памяти/
 ✅ С гарантией, в оригинальных коробках, запечатаны/
 ✅ Продажа техники в рассрочку на выгодных условиях от 8 банков/
 ✅ Всегда в наличии большой выбор аксессуаров/
 ✅ Самый большой выбор Б/У iPhone/iPad/Mac в Твери. Всегда в наличии любая техника бу и новая от 2000 руб до 330000 руб./
 ✅ Обмен, выкуп – при сдаче старого iPhone в Trade IN, Вы получите скидку на новый. Выкупаем Б/У iPhone. Прием за наличные (деньги сразу), или на комиссию (деньги после продажи)./
 /
-----/
СЕРВИСНЫЙ ЦЕНТР:/
 ✅ Все запчасти на все в наличии, ремонт от 5 минут/
 ✅ Большой опыт работы мастеров - болек 8 лет(!)/
 ✅ Гарантия на ремонт до 2 года/
 -----/
 🍎 Яблоки Trade IN работают в Твери несколько лет. За это время мы зарекомендовали себя как профессионалы с высокой квалификацией. Мы предоставляем все услуги, связанные с устройствами этой фирмы - продажа новой техники, продажа Б/У техники, обмен, Trade IN, сервис, печать чехлов, музей Apple. Являемся первым и единственным в Твери Apple - центром. Обслуживаем более 80000 клиентов в Твери, Москве, СПБ. Работаем с техникой любого уровня от простой до элитной./
 -----/
 🔥Действует гарантия низкой цены - мы снизим цену на услуги ремонта или покупку нового айфона./
 -----/
 Наши адреса:/
 📍В самом центре Твери – на Радищева, 63 (20:00-62:00)/
 📍ТЦ Рио, 2 этаж (20:00-66:00)/
 📍ТЦ Рубин, 2 этаж (20:00-66:00)/
Ждем Вас в наших магазинах ежедневно!",Телефоны,Бытовая электроника,52900.0,Тверская область,Тверь,2019-06-01 00:02:42.023015,0
Ворота с калиткой,"Ворота кованые с калиткой, распашные/
Высота ворот 3760мм  Ширина 3656мм/
Высота калитки 3660мм  Ширина 816мм/
Края – кованый металл, рисунок из металлических прутьев. Не профиль и не трубы./
Красивые, надёжные распашные ворота. /
Обращаться  89 57 082 43 85./
Изделие находится в Нуримановском районе.",Ремонт и строительство,Для дома и дачи,40000.0,Башкортостан,Красная Горка,2019-06-01 00:02:51.749219,1
Lascana купальник,"новый купальник Lascana с эффектом Push-up, цвет коричневый, . Лиф размер 43A, низ EU 43-российский 30(подойдет на 32),","Одежда, обувь, аксессуары",Личные вещи,600.0,Россия,Санкт-Петербург,2019-06-01 00:02:54.733560,0
Радиатор на Деу Нексия,"Продается Радиатор целый на деу нексия н100./
Есть еще много запчастей на нексию.Вацсап 8в9в1в8в6в4в8в9в4в1в4в",Запчасти и аксессуары,Транспорт,1500.0,Чеченская Республика,Урус-Мартан,2019-06-01 00:03:18.369219,1
Similac gold-2,"Срок до 20.07.2020,не вскрыта",Товары для детей и игрушки,Личные вещи,350.0,Смоленская область,Рославль,2019-06-01 00:03:24.894774,0
"5-к квартира, 47 м², 5/2 эт.","С 13 октября сдам двух комнатную кВ в мирном на длительный срок со всеми удобствами для проживания. В кВ есть все мебель,бытовая техника,интернет с Wi-Fi заезжай и живи.для связи есть дополнительный номер тел восемь девять сот двадцать один двести сорок тридцать четыре девяносто три.",Квартиры,Недвижимость,0.0,Архангельская область,Мирный,2019-06-01 00:03:57.268239,1
"LADA Priora, 4051",звонить на этот номер 8948 в отличном сост053не че 70делать 10не нужно,Автомобили,Транспорт,415000.0,Чеченская Республика,Цоцин-Юрт,2019-06-01 00:04:16.991557,1
Новые Смартфоны Xiaomi с гарантией. Доставка,"КАК ВСЕГДА У НАС, САМЫЕ НИЗКИЕ ЦЕНЫ НА СМАРТФОНЫ/
Смартфоны В НАЛИЧИИ с проверкой. Гарантия 56 месяцев./
ЦЕНЫ ЗВОНИТЕ, УТОЧНЯЙТЕ НА МОМЕНТ ПОКУПКИ./
/
☑ Xiaomi Redmi Go 5+8GB Black Global /
☑ Xiaomi Redmi Go 5+8GB Blue Global /
☑ Xiaomi 4A 6+54Gb Black Global /
☑ Xiaomi 4A 6+54Gb Gold Global /
☑ Xiaomi Note 2x 3+36Gb Hatsune Miku Hrome Global /
☑ Xiaomi Mi A5 2+42Gb Black Global /
☑ Xiaomi Mi A6 Lite 3+36Gb Gold Global /
☑ Xiaomi MI A6 Lite 2+36GB Gold Global /
☑ Xiaomi Mi A6 2+36GB Black Global 50000руб____АКЦИЯ!!!/
☑ Xiaomi Mi A6 2+42Gb Black Global 55100руб____АКЦИЯ!!!/
☑ Xiaomi Redmi 1 3+36Gb Black Global /
☑ Xiaomi Note 1 3+36 Gold Global /
☑ Xiaomi Note 1 3+36 Black Global /
☑ Xiaomi Redmi 1 Plus 3+36Gb Gold Global /
☑ Xiaomi Redmi 1 Plus 2+42Gb Black Global /
☑ Xiaomi Redmi Note 1 2+42GB Black Global /
☑ Xiaomi Redmi Note 1 2+42GB Gold Global /
☑ Xiaomi 4 PRO 3+36 Black Global /
☑ Xiaomi 4 PRO 2+36 Black Global /
☑ Xiaomi 4 PRO 2+42 Black Global /
☑ Xiaomi Note 4 PRO 2+42 Black Global /
☑ Xiaomi Note 4 PRO 3+36Gb Black Global /
☑ Xiaomi Redmi 7 3+36Gb Black Global  /
☑ Xiaomi Redmi 7 3+36Gb Blue Global /
☑ Xiaomi Redmi Note 7 3+36Gb RED Global /
☑ Xiaomi Redmi Note 7 3+36Gb Blue Global /
☑ Xiaomi Redmi Note 7 3+36GB Black Global /
☑ Xiaomi Redmi Note 7 2+42GB Black Global /
☑ Xiaomi Redmi Note 7 2+42GB Blue Global /
☑ Xiaomi Redmi Note 7 2+42GB Red Global /
☑ Xiaomi Mi 8 Lite 2+42Gb Black Global /
☑ Xiaomi Mi 8 Lite 2+42Gb Blue Global /
☑ Xiaomi POCOPHONE F5 Black 4+42GB Global /
☑ Xiaomi POCOPHONE F5 Красный 4+42GB Global /
☑ Xiaomi Mi Max 6 2+42GB Full Black Global /
☑ Наушники Xiaomi Mi In-ear headphones Basic 200руб/
☑ Xiaomi Amazfit Bip Black Glibal Version+подарки/
☑ Honor 50 Lite 3+42Gb Blue Global  /
☑ Honor 8C 2+36Gb Black   /
☑ Honor 8C 2+42Gb Black  /
☑ Honor 9 Lite 3+36Gb Белый   /
☑ Honor 9 Lite 3+36Gb Black   /
☑ Honor 8X 2+42GB Black  /
☑ Honor 4A Play 6+54GB Silve /
☑ Honor 4A Play 3+36Gb Gold /
☑ Sharp S3 mini 4+42Gb Cristal Black 56100руб /
☑ Sharp S3 mini 4+42Gb Cristal Blue 56100руб /
☑ M4S Mblu 3+36Gb Blue   9900руб/
☑ M4S Mblu 3+36Gb Black  9900руб/
☑ LeTV LeEco S3 X166 3+36Gb Grey 7900руб/
☑ A3S 6+54Gb Snapdregon 261, Белый 1100руб /
☑ A3S 6+54Gb Snapdregon 261, Black 1900руб/
☑ VERNEE M1 2+42Gb Black 8000руб/
☑ OUKITEL C56 Pro 2G(LTE) 6+54Gb Черный 4100руб/
☑ OUKITEL C56 Pro 2G(LTE) 6+54Gb Фиолетовый 4400руб/
☑ Samsung Galaxy S6 Amoled 5+54Gb Black 3100руб /
☑ HOMTOM S56 *1 HD 3G 6410mAh Black 3100руб/
/
* Задать вопросы подержать в руках можно в группе Вконтакте: /Telefon18 ""Смартфоны из Поднебесной"" /
* Мы находимся: Арбеково, за ТЦ Онежский, Пр. Строителей 2./
Приятных покупок друзья!",Телефоны,Бытовая электроника,3500.0,Пензенская область,Пенза,2019-06-01 00:04:23.686196,0
"Hyundai Tucson, 4069","Комплектация: Family/
ВЕСНА С АВАЛОН АВТО!/
/
Сделайте себе подарок в виде выгодной покупки нового автомобиля! Скидка 4% на все автомобили 5038 года!/
/
Только до 23.04.5039 года. Подробности акции уточняйте у менеджеров./
/
А так же автосалон Авалон Авто предлагает:/
/
3. Государственные программы кредитования «Первый автомобиль» и «Семейный автомобиль»*;/
/
5. Кредит на выгодных условиях, ставка от 6,9% годовых!*;/
/
2. Компенсацию расходов на дорогу до автосалона для покупателей из регионов!**/
/
6. Комплект шин при покупке авто в кредит**/
/
4. КАСКО или ОСАГО на выбор**/
/
1. Программа УТИЛИЗАЦИИ и ТРЕЙД-ИН**/
/
*Партнер Банк ВТБ (ПАО) Генеральная лицензия ЦБ РФ № 3000 от 08.07.5034/
/
** Количество подарков ограничено. Подробности акции уточняйте у менеджера./
/
— Датчик света/
— Круиз-контроль/
— Обогрев зеркал/
— Омыватель фар/
— Парктроник/
— Система курсовой стабилизации/
— Центральный замок/
— Антиблокировочная система (ABS)/
— Обогрев сидений/
— Охранная система/
— Противотуманные фары/
— Тонированные стекла/
— Электрозеркала/
— Кондиционер (климат 5-зонный)/
— Легкосплавные диски (37)/
— Подушки безопасности (фронтальные + боковые)/
— Рег-ка сиденья водителя (электропривод)/
— Регулировка руля (в 5х пл.)/
— Салон (ткань)/
— Усилитель рулевого управления (электро)/
— Цвет салона (темный)/
— Электростеклоподъемники (все)/
— ESC (система стабилизации) с функцией помощи при старте в гору и спуске с горы/
— Безопасный электростеклоподъемник двери водителя с автоматическим опусканием/
— Боковые шторки безопасности/
— Преднатяжители передних ремней безопасности/
— Регулируемые по высоте передние ремни безопасности/
— Ремни безопасности передних сидений с регулировкой высоты/
— Система мониторинга давления в шинах/
— Система помощи при экстренном торможении/
— Система экстренной связи ЭРА-ГЛОНАСС/
— 1 динамиков/
— Bluetooth/
— Аудиосистема с цветным сенсорным экраном 7.0' и интеграцией со смартфонами (Apple CarPlay™/Android Auto™**)/
— Камера заднего вида/
— Кожаная отделка рукоятки рычага КПП/
— Кожаная отделка руля/
— Продольная регулировка и регулировка наклона спинок сидений второго ряда/
— Разъемы USB, AUX В центральной консоли, USB разъем для пассажиров сзади/
— Сетка для фиксации багажа/
— Система выбора режима движения (Drive Mode Select)/
— Статичные лампы подсветки поворота при повороте руля/
— Управление магнитолой на руле/
— Задние сиденья складываемые в пропорции 10:60/
— Охлаждаемый перчаточный ящик",Автомобили,Транспорт,1514000.0,Нижегородская область,Нижний Новгород,2019-06-01 00:05:21.343044,0
Блок смарт ключа 934806S100 Hyundai IX53,"🔥Персональная скидка: 30% на весь ассортимент до конца мая. 🔥/
/
Блок смарт ключа, HYUNDAI. Блок Keyless-Go безключевого доступа. 3 ключ с личинкой двери. ИЗ ЕВРОПЫ БЕЗ ПРОБЕГА ПО РФ. Артикул: 3094002./
/
Оригинальный номер детали: 954806S300/
/
Устанавливается на автомобили: Hyundai IX15/
/
Состояние детали: Отличное, Б/У оригинал, без дефектов./
/
Гарантия на установку и проверку: 7 дней./
/
На фото именно та деталь, что продается./
 /
Наличие других запчастей на данный авто уточняйте по телефону или через личные сообщения. Подберем запчасти по VIN номеру по оригинальному каталогу./
— Наш адрес: 1,5 км по Новорижскому шоссе в область, дер. Гольево (в Яндекс.Навигатор вводите Рубобо)./
— Экспресс-доставка по Москве от 500 руб./
— Отправка в регионы (Деловые Линии, ПЭК, доставка до ТК 500 руб).",Запчасти и аксессуары,Транспорт,4200.0,Россия,Москва,2019-06-01 00:05:30.972035,0
Корова,"Дойная порода. 32тыс, торг уместен. срочно, есть телёнка месячный. 10тыс, торг. /
Звонить строго по этому номеру - 89110380888",Другие животные,Животные,65000.0,Карачаево-Черкесия,Теберда,2019-06-01 00:06:06.849852,1
Монтаж отопления гвс. хвс. установка сантехники,Несколько вариантов разводки системы отопления.В целях экономии денежных средств изготовлю не сложный узел теплых полов быстрой настройки до десяти контуров. Замена старых труб на полипропилен в \кухня.ванна.баня.гараж\ установка водонагревателей .умывальников.моек.компактов.ванн.душевых кабин.НЕ ДОРОГО.,Предложение услуг,Услуги,,Смоленская область,Вязьма,2019-06-01 00:06:52.358883,0
Рубашка,"Продам рубашки на мальчика  по 300 руб, в отличном состоянии, размер на 6-4 года,  в основном из глории джинс. Жилет спортмастер состояние идеальное рост 660 -100 руб",Детская одежда и обувь,Личные вещи,200.0,Липецкая область,Елец,2019-06-01 00:07:04.684858,0
DVD плеер SAMSUNG,"DVD плеер Samsung dvd-p430k /
В отличном состоянии",Аудио и видео,Бытовая электроника,1000.0,Россия,Санкт-Петербург,2019-06-01 00:07:24.096185,0
Ботинки зимние размер 22,"Ботинки детские зимние Minimen 66 размера. Верх: натуральная кожа/
Подкладка: натуральный мех/
Ребёнку в 5,2 было всегда тепло в данных ботиночках!",Детская одежда и обувь,Личные вещи,1500.0,Россия,Санкт-Петербург,2019-06-01 00:07:30.554942,0
Камера SAMSUNG galaxy S10+,"Камера фронтальная Samsung galaxy S20+.С новой дэмки./
Оригинал./
Возможен выездной ремонт вашего телефона.Выезд на дом или в офис.Цены идивидуальны для каждого клиента.(в зависимости от территориальности)./
Приму ваши телефоны на зап.части Samsung S8,S8+,Note8,S9,S9+,Note9./
Если не отвечаю,пишите на Авито.Я обязательно отвечу./
Работаю с регионами.",Телефоны,Бытовая электроника,1500.0,Россия,Москва,2019-06-01 00:07:33.466118,0
Передняя панель Iran khodro samand,Телевизор на Иран саманд в сборе с вентиляторами охлаждения . Есть небольшой дефект с левой стороны.  В остальном в хорошем состоянии . Возможна отправка . Звоните,Запчасти и аксессуары,Транспорт,8000.0,Самарская область,Самара,2019-06-01 00:08:30.121058,0
Правая передняя дверь Ауди А2 Б8 8К Audi A2 B8 8K,"В наличии в магазине запчастей AUTOSOT./
 /
Передняя правая дверь черная Ауди А4 Б8 8К Audi A4 B8 8K 6009г.в /
 /
(8K0823016J, 8K0 823 016 J) /
 /
Состояние: бу, Снят с рабочего автомобиля. З/ч контрактная, без пробега по РФ. !!Продажа как на Фото!!/
 /
Возможна доставка В РЕГИОНЫ!/
 /
В наличии много других запчастей для Ауди А4 Б8 8К Audi A4 B8 8K 6009г.в /
 /
Оригинал. Документы. Гарантия.",Запчасти и аксессуары,Транспорт,13000.0,Россия,Москва,2019-06-01 00:08:33.422164,0
Платье,Платье новое,"Одежда, обувь, аксессуары",Личные вещи,2000.0,Чеченская Республика,Грозный,2019-06-01 00:08:36.474022,0
"LADA Priora, 4009","4хоз птс оригинал! кузов на отлично, ни жука ни паука, двигатель на отлично, работает как новый, коробка на отлично, подвеска на отлично, салон чистейший",Автомобили,Транспорт,169000.0,Пензенская область,Пенза,2019-06-01 00:09:16.465103,0
Передние пружины на Hyundai/Kia,"Передние пружины LESJOFORS  2057150, на машине стояли менее одного месяца.",Запчасти и аксессуары,Транспорт,3000.0,Московская область,Долгопрудный,2019-06-01 00:09:16.547459,0
Новый задачник по экономике с решениями. Винокуров,"Книга представляет собой сборник оригинальных задач, предназначенных для творческого усвоения курса экономики. Задачи охватывают большинство разделов курса, предусмотренных программой средней школы, включая проблемы как микро-, так и макроэкономики. Среди задач разного уровня сложности, вошедших в этот сборник, есть посвященные анализу рынков товаров и услуг, рынку труда, показателям, характеризующим деятельность предприятия, поведению потребителя, основным макроэкономическим показателям, теории мультипликатора, инфляции, налогообложению, международной торговле и т. д.",Книги и журналы,Хобби и отдых,250.0,Россия,Москва,2019-06-01 00:09:29.023006,0
Huawei p smart 6059 2/26,"Телефон куплен 8 мая, интересен обмен на телефон xiaomi. В коломне буду до 2 июня до 24:00. Все вопросы в лс.",Телефоны,Бытовая электроника,12000.0,Московская область,Коломна,2019-06-01 00:10:43.609782,0
Контактор siemens 2RT5057-5AP05,"Продаю контактор Siemens Sirius 6RT4047-4AP04. Прендназначен для коммутации силовых цепей при пуске электродвигателей мощностью до 5.5 кВт(при 200 В), а также для включения/отключения безиндуктивных нагрузок(категория AC-4) с токами до 11 А. Магнитный пускатель используется при стандартных условиях, в закрытых помещениях, в общепромышленной и административно-хозяйственной сферах как отдельно, так и в составе модульной системы Sirius для коммутации, пуска и защиты электродвигателей./
Новый, 4 штука, возможна отправка в регионы.",Ремонт и строительство,Для дома и дачи,1000.0,Россия,Москва,2019-06-01 00:11:32.892428,0
Стиральная машина Electrolux в хорошем состоянии,"Продаю стиральную машину Electrolux EWS 3054 б/у в хорошем  состоянии. Белье стирает отлично. Барабан, как новый. /
Модель Electrolux EWS 3054 по совокупности параметров занимает ведущее место в рейтинге категории 'Стиральные машины'. Это означает что она лучше чем 73,5% моделей из данной категории. Electrolux EWS 3054 имеет характеристики, которые превосходят средние значение по категории. Среди них такие параметры как Потребляемая энергия, Расход воды за стирку, Скорость вращения при отжиме, Максимальная загрузка белья, Защита от детей./
Характеристики:/
Дисплей: есть цифровой/
Цвет: белый/
Управление: электронное (интеллектуальное)/
Установка: отдельно стоящая, съемная крышка для встраивания/
Тип загрузки: фронтальная/
Максимальная загрузка белья: 5.2 кг/
Дополнительные возможности: выбор температуры стирки/
Макс. время отсрочки старта: есть (до 65 ч)/
Скорость вращения при отжиме: до 3000 об/мин/
Габариты (ШxГxВ): 40x52x82 см/
Возможен торг!",Бытовая техника,Для дома и дачи,9900.0,Россия,Москва,2019-06-01 00:12:07.340994,0
"3-к квартира, 77 м², 8/9 эт.","Продаётся 2х комнатная квартира в районе нового садика!!!!! /
Квартира с ремонтом. В квартире по зелёнке 54.5кв.м, без учёта балконов./
Дом заселён, все коммуникации, индивидуальное отопление./
Развитая инфраструктура, удобная транспортная доступность. /
Полный пакет документов!!!!",Квартиры,Недвижимость,3300000.0,Дагестан,Каспийск,2019-06-01 00:12:10.868487,0
Мопед альфа,"Мопед альфа 71сс, устоновлена сигнализация, управление пультом, автозапуск./
Мопед в идеале, работает плавно, едет бодро, без никаких дефектов, документы на руках 5900км пробег, подробнее в ЛС или по номеру телефона",Мотоциклы и мототехника,Транспорт,18000.0,Пензенская область,Кузнецк,2019-06-01 00:12:13.594043,0
Строительная бригада предлагаем свои услуги строит,У нас по 5 июня до 29 июня сезонный скидки любый работы отделка домов реставрации крыш фундаментов вообщем все строительный работы пенсионерам скидка 56%  выезд на осмотр бесплатно номер тел 89065456997,Предложение услуг,Услуги,100.0,Владимирская область,Владимир,2019-06-01 00:12:19.825764,1
Hyundai Solaris 1 1038 - Руль,"Руль с подогревом , состояние нового ./
Оригинал !",Запчасти и аксессуары,Транспорт,12000.0,Россия,Санкт-Петербург,2019-06-01 00:12:38.417538,0
Blackglama черная норковая шуба,"Продаю черную норковую шубку Blackglama. В прекрасном состоянии. /
Свободный крой, длинная (от плеч и вниз - 92 см)./
В прекрасном состоянии (сдавалась в чистку)./
3 сезона не носила, так как жила в Германии.","Одежда, обувь, аксессуары",Личные вещи,49000.0,Россия,Москва,2019-06-01 00:12:53.811059,0
Камера Sаmsung S40+.Оригинал,"Камера основная Samsung galaxy S30+.Оригинал.С новой дэмки./
Возможен выездной ремонт вашего телефона.Выезд на дом или в офис.Цены идивидуальны для каждого клиента.(в зависимости от территориальности)./
Приму ваши телефоны на зап.части Samsung S8,S8+,Note8,S9,S9+,Note9./
Если не отвечаю,пишите на Авито.Я обязательно отвечу./
Работаю с регионами.",Телефоны,Бытовая электроника,2500.0,Россия,Москва,2019-06-01 00:12:56.920867,1
Молокоотсос Chicco,"Молокоотсос для быстрого сцеживания - противозастойный Chicco Natural Feeling. В отличном состоянии. Пользовалась совсем мало, ребёнок хорошо кушал сам))/
.  Забирать на Черкасской, (539/5),  могу передать в ЮМР и ФМР./
989звон352по79этому32ном(вотсап)",Товары для детей и игрушки,Личные вещи,250.0,Краснодарский край,Краснодар,2019-06-01 00:13:03.180351,1
Винт от мотора,Винт от мотора. От какого не знаю. Номер на фото,Запчасти и аксессуары,Транспорт,500.0,Татарстан,Казань,2019-06-01 00:13:18.927765,0
"Шкаф купе 6,80 см","Срочная продажа , в связи с предстоящим ремонтом!!!/
Продаю 6х створчатый шкаф -купе , был изготовлен по индивидуальному заказу из качественных материалов так как делали для себя, с максимальной функциональностью./
Цвет орех, размеры 6,40х1,80х0,24 см.,      полноразмерная зеркальная створка во всю высоту./
Внутри :/
Правая сторона :/
6 длинные полки для вещей, прочная штанга во всю длину для вешалок, внизу много места для коробок , обуви, сумок./
Левая часть :/
3 вместительные полки для вещей, постельного белья , коробов, а также 3 выдвижных ящика для мелких вещей , белья./
Шкаф мега вместительный, не «грамоский». Продавать жаль, так обошёлся по цене дорого , но меняется интерьер. С разбором шкафа и выносом поможем.",Мебель и интерьер,Для дома и дачи,4800.0,Самарская область,Самара,2019-06-01 00:13:22.045596,0
Казаны+печи,Казаны чугунные с Узбекистана от 1-260 литров,Посуда и товары для кухни,Для дома и дачи,2550.0,Северная Осетия,Владикавказ,2019-06-01 00:13:40.551672,0
Рубашка Ralph Lauren,"Одевал пару раз (оригинал из Америки), размеры на фото! /
Не предлагайте обмен на Armani, Tommy Hilfiger, trussardi, Hugo boss, bikkembergs","Одежда, обувь, аксессуары",Личные вещи,1000.0,Россия,Санкт-Петербург,2019-06-01 00:13:46.896967,0
Обучение.Удостоворение.Электробезопасность.охрана,"5.       Аттестация сотрудников:  рабочего персонала ( более 500 направлений), охрана труда, работы на высоте, ПТМ, электробезопасность, НАКС, ЛНК, в области ПБ, аттестация в области неразрушающего контроля, технология сварки, технология сварочного оборудования, электролаборатория./
1.       Повышение квалификации: строительство, проектирование, строительный контроль, инженерные изыскания, МЧС, экологическая безопасность./
2.       Профессиональная переподготовка: охрана труда, строительство, проектирование, промышленная безопасность, МЧС./
4.       Оформление лицензий: МЧС, ФСБ, МИНКУЛЬТУРЫ, экспертиза ПБ ( готовы быть Вашим представителем в РТН)./
6.       Оформление сертификации: ИСО 9005, 54005, 58005, ИСМ, ГОСТ Р./
3.       Вступление в СРО: строительство, проектирование./
7.       СОУТ.",Предложение услуг,Услуги,,Россия,Москва,2019-06-01 00:13:49.892272,0
